Sample,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
HG02146,144.0,17.0,59.0,30.0,66.0,166.0,389.0,753.0,2691.0,29.0
HG01311,42.0,84.0,2.0,0.0,74.0,16.0,8.0,2.0,408.0,19.0
HG01945,134.0,100.0,42.0,29.0,61.0,479.0,528.0,400.0,264.0,6.0
HG02277,92.0,96.0,0.0,9.0,50.0,463.0,390.0,358.0,26.0,19.0
HG01055,92.0,100.0,42.0,2.0,50.0,166.0,528.0,400.0,843.0,4080.0
HG01384,42.0,1.0,42.0,10.0,74.0,1.0,1.0,2.0,0.0,43.0
HG01551,145.0,3.0,29.0,49.0,17.0,464.0,7.0,1.0,3553.0,17.0
NA19774,28.0,100.0,1.0,9.0,324.0,464.0,17.0,2.0,809.0,28.0
HG01366,54.0,109.0,56.0,30.0,5.0,468.0,54.0,360.0,760.0,72.0
HG01241,42.0,0.0,69.0,11.0,299.0,464.0,54.0,391.0,594.0,19.0
HG01571,144.0,112.0,51.0,1.0,76.0,210.0,503.0,360.0,2673.0,1.0
HG01085,54.0,130.0,55.0,0.0,321.0,68.0,385.0,358.0,415.0,70.0
HG01134,0.0,78.0,53.0,30.0,52.0,170.0,503.0,522.0,249.0,42.0
HG02182,145.0,108.0,1.0,0.0,61.0,210.0,536.0,398.0,185.0,4056.0
HG01859,92.0,3.0,57.0,3.0,79.0,214.0,35.0,3.0,1644.0,12.0
NA18605,145.0,84.0,57.0,375.0,56.0,116.0,54.0,396.0,766.0,60.0
HG00479,92.0,108.0,0.0,375.0,60.0,210.0,54.0,395.0,760.0,43.0
HG00619,144.0,54.0,56.0,11.0,61.0,6135.0,36.0,21.0,3424.0,4042.0
HG00472,0.0,109.0,53.0,375.0,61.0,210.0,36.0,22.0,813.0,42.0
HG01817,144.0,108.0,1.0,367.0,50.0,465.0,28.0,4.0,218.0,44.0
HG01028,144.0,84.0,56.0,376.0,59.0,480.0,34.0,4.0,0.0,4059.0
NA18977,93.0,120.0,0.0,375.0,62.0,479.0,535.0,397.0,814.0,60.0
HG02154,28.0,97.0,0.0,10.0,61.0,210.0,36.0,28.0,3549.0,43.0
HG02367,28.0,108.0,0.0,10.0,74.0,10.0,35.0,27.0,1653.0,61.0
HG02164,29.0,84.0,1.0,10.0,62.0,1.0,37.0,27.0,2815.0,43.0
HG00584,28.0,55.0,57.0,375.0,61.0,479.0,54.0,397.0,539.0,43.0
NA18555,27.0,6.0,4.0,375.0,62.0,9885.0,531.0,399.0,845.0,43.0
HG01598,29.0,5.0,53.0,0.0,61.0,213.0,86.0,399.0,3159.0,32.0
HG02184,144.0,96.0,0.0,368.0,63.0,466.0,35.0,28.0,0.0,60.0
HG00632,92.0,55.0,155.0,375.0,61.0,104.0,58.0,27.0,2533.0,43.0
HG00566,92.0,105.0,0.0,11.0,61.0,67.0,389.0,358.0,246.0,61.0
HG00634,28.0,76.0,155.0,11.0,75.0,254.0,74.0,397.0,3137.0,43.0
HG00702,27.0,108.0,0.0,375.0,62.0,210.0,36.0,27.0,3443.0,4057.0
HG01597,46.0,54.0,155.0,375.0,127.0,212.0,638.0,753.0,0.0,23.0
NA18983,28.0,109.0,42.0,0.0,61.0,210.0,528.0,400.0,292.0,17.0
HG01595,28.0,107.0,5.0,366.0,50.0,207.0,508.0,360.0,288.0,43.0
HG02060,27.0,85.0,59.0,11.0,56.0,1.0,21.0,3.0,758.0,41.0
HG00443,28.0,128.0,56.0,10.0,316.0,210.0,55.0,506.0,348.0,4082.0
NA18546,28.0,54.0,56.0,10.0,106.0,226.0,389.0,358.0,224.0,58.0
HG02410,92.0,109.0,0.0,2.0,61.0,211.0,58.0,27.0,147.0,28.0
HG02072,92.0,54.0,41.0,10.0,74.0,92.0,638.0,754.0,2606.0,47.0
HG00684,28.0,127.0,56.0,11.0,61.0,210.0,54.0,506.0,719.0,4060.0
HG01815,27.0,54.0,1.0,1.0,61.0,210.0,59.0,27.0,3342.0,28.0
HG00583,42.0,54.0,0.0,0.0,318.0,210.0,528.0,401.0,814.0,28.0
HG02156,27.0,56.0,2.0,375.0,62.0,478.0,36.0,27.0,405.0,41.0
HG02180,144.0,107.0,0.0,11.0,316.0,210.0,36.0,27.0,251.0,4077.0
HG02364,27.0,5.0,55.0,369.0,51.0,166.0,35.0,3.0,779.0,31.0
HG00436,92.0,16.0,4.0,0.0,316.0,210.0,36.0,22.0,3428.0,42.0
HG02521,28.0,3.0,58.0,9.0,76.0,1.0,35.0,3.0,3557.0,1.0
HG00657,27.0,108.0,0.0,375.0,322.0,211.0,37.0,22.0,6094.0,43.0
NA19080,154.0,17.0,55.0,0.0,61.0,212.0,62.0,391.0,3137.0,59.0
NA18971,92.0,96.0,55.0,375.0,62.0,478.0,66.0,152.0,3138.0,60.0
HG00513,144.0,55.0,45.0,369.0,61.0,168.0,40.0,22.0,396.0,4032.0
HG01863,144.0,108.0,0.0,375.0,61.0,479.0,54.0,396.0,410.0,59.0
HG01796,28.0,108.0,1.0,10.0,75.0,210.0,52.0,27.0,751.0,4081.0
HG00530,27.0,76.0,155.0,367.0,52.0,465.0,73.0,506.0,396.0,63.0
HG02079,27.0,107.0,3.0,0.0,62.0,210.0,31.0,3.0,3445.0,43.0
HG00622,92.0,96.0,55.0,0.0,320.0,210.0,54.0,395.0,3550.0,4094.0
HG00464,27.0,54.0,41.0,12.0,61.0,2.0,72.0,400.0,292.0,17.0
NA18537,27.0,84.0,0.0,375.0,302.0,6345.0,58.0,177.0,399.0,43.0
HG01851,94.0,84.0,64.0,10.0,61.0,2.0,28.0,3.0,751.0,41.0
NA18960,92.0,103.0,4.0,375.0,62.0,7193.0,533.0,396.0,566.0,60.0
HG02178,28.0,110.0,1.0,368.0,51.0,551.0,29.0,3.0,230.0,60.0
HG00446,28.0,54.0,55.0,302.0,65.0,175.0,59.0,29.0,3554.0,4027.0
NA18968,28.0,56.0,27.0,10.0,62.0,2.0,52.0,466.0,3649.0,4056.0
NA18632,27.0,105.0,0.0,11.0,83.0,71.0,389.0,358.0,3137.0,60.0
HG02116,92.0,84.0,152.0,367.0,50.0,2660.0,30.0,3.0,0.0,34.0
HG01809,27.0,108.0,0.0,11.0,76.0,1.0,62.0,27.0,288.0,28.0
HG02189,144.0,108.0,1.0,375.0,61.0,9818.0,77.0,28.0,724.0,43.0
HG02153,28.0,128.0,28.0,375.0,210.0,210.0,35.0,7.0,0.0,70.0
HG02128,28.0,84.0,57.0,376.0,56.0,91.0,73.0,397.0,3137.0,60.0
HG02152,92.0,108.0,0.0,375.0,105.0,210.0,58.0,27.0,0.0,4070.0
HG00844,144.0,126.0,49.0,375.0,61.0,212.0,58.0,27.0,727.0,42.0
HG01800,27.0,105.0,55.0,0.0,66.0,173.0,58.0,28.0,729.0,3929.0
HG00607,136.0,54.0,56.0,1.0,321.0,210.0,55.0,395.0,171.0,60.0
NA18612,0.0,104.0,53.0,12.0,76.0,464.0,53.0,390.0,195.0,28.0
HG02020,29.0,108.0,1.0,29.0,66.0,471.0,36.0,27.0,3139.0,43.0
HG02087,92.0,127.0,28.0,367.0,50.0,467.0,35.0,21.0,3137.0,60.0
HG02139,42.0,3.0,50.0,0.0,66.0,166.0,503.0,360.0,3139.0,43.0
HG00404,28.0,98.0,57.0,375.0,67.0,213.0,651.0,753.0,3454.0,60.0
HG02064,145.0,108.0,1.0,370.0,13.0,59.0,536.0,397.0,238.0,43.0
HG02017,0.0,84.0,49.0,376.0,61.0,22.0,57.0,27.0,728.0,59.0
NA18988,92.0,0.0,155.0,0.0,304.0,168.0,22.0,2.0,3139.0,60.0
NA18980,28.0,54.0,55.0,0.0,64.0,211.0,73.0,506.0,374.0,43.0
NA18989,146.0,104.0,59.0,367.0,67.0,5371.0,60.0,30.0,729.0,45.0
HG02137,27.0,110.0,27.0,10.0,61.0,367.0,54.0,395.0,220.0,59.0
HG00766,28.0,54.0,0.0,13.0,79.0,213.0,53.0,29.0,567.0,40.0
NA18944,92.0,96.0,29.0,1.0,61.0,210.0,528.0,400.0,109.0,13.0
NA18642,135.0,0.0,50.0,11.0,316.0,69.0,15.0,2.0,16.0,16.0
HG00418,92.0,100.0,27.0,0.0,321.0,211.0,390.0,753.0,3550.0,43.0
NA18553,134.0,56.0,70.0,5.0,72.0,210.0,385.0,358.0,2721.0,4341.0
HG02390,27.0,94.0,59.0,375.0,62.0,168.0,55.0,27.0,758.0,60.0
HG00565,144.0,53.0,55.0,375.0,61.0,104.0,58.0,27.0,562.0,4070.0
HG02382,150.0,106.0,56.0,9.0,61.0,465.0,54.0,358.0,3487.0,4096.0
HG02384,27.0,56.0,55.0,10.0,59.0,465.0,57.0,75.0,729.0,13.0
HG00596,27.0,54.0,40.0,0.0,61.0,210.0,536.0,397.0,3137.0,4050.0
HG02250,136.0,75.0,55.0,375.0,61.0,12.0,36.0,26.0,2538.0,44.0
NA18946,92.0,1.0,50.0,31.0,62.0,470.0,1.0,2.0,82.0,60.0
HG02372,28.0,108.0,0.0,375.0,62.0,478.0,58.0,27.0,398.0,60.0
HG00442,27.0,58.0,155.0,10.0,74.0,2.0,55.0,27.0,845.0,28.0
NA18566,145.0,54.0,58.0,11.0,62.0,1.0,57.0,358.0,2697.0,61.0
HG00650,27.0,105.0,0.0,375.0,62.0,211.0,638.0,753.0,0.0,59.0
HG02081,0.0,105.0,53.0,366.0,12.0,196.0,61.0,391.0,3156.0,60.0
HG00983,27.0,110.0,2.0,376.0,61.0,3.0,638.0,754.0,377.0,4059.0
HG01794,92.0,17.0,0.0,369.0,63.0,173.0,36.0,27.0,251.0,4049.0
NA18941,92.0,57.0,55.0,375.0,61.0,478.0,35.0,22.0,172.0,4083.0
HG02138,28.0,106.0,44.0,376.0,62.0,478.0,503.0,360.0,251.0,11.0
HG00759,28.0,55.0,44.0,1.0,305.0,199.0,55.0,27.0,725.0,42.0
NA12891,0.0,0.0,154.0,9.0,74.0,15.0,71.0,358.0,3539.0,0.0
