gene1,gene2,D,Wn,hap_num,sample_num
HLA-DQB1,HLA-DRB1,0.882472628735513,0.486715274795589,856,1001
HLA-DRB1,HLA-DQB1,0.882472628735513,0.486715274795589,856,1001
HLA-DQB1,HLA-DRB3,0.490883374500095,0.374422720053322,427,855
HLA-DRB3,HLA-DQB1,0.490883374500095,0.374422720053322,427,855
HLA-DQB1,HLA-DRB4,0.457770386002186,0.420793252195115,470,1000
HLA-DRB4,HLA-DQB1,0.457770386002186,0.420793252195115,470,1000
HLA-DQB1,HLA-DRB5,0.448641759581553,0.373562942547626,481,985
HLA-DRB5,HLA-DQB1,0.448641759581553,0.373562942547626,481,985
HLA-DQB1,HLA-E,0.355607183063015,0.472359214872832,436,994
HLA-E,HLA-DQB1,0.355607183063015,0.472359214872832,436,994
HLA-DQB1,HLA-F,0.497971706043601,0.418545193274664,603,937
HLA-F,HLA-DQB1,0.497971706043601,0.418545193274664,603,937
HLA-DQB1,HLA-H,0.522393325293297,0.364641521814979,506,743
HLA-H,HLA-DQB1,0.522393325293297,0.364641521814979,506,743
HLA-DQB1,HLA-K,0.380549695491666,0.413026046931519,336,749
HLA-K,HLA-DQB1,0.380549695491666,0.413026046931519,336,749
HLA-DQB1,HLA-L,0.327403013036959,0.411931892508538,310,943
HLA-L,HLA-DQB1,0.327403013036959,0.411931892508538,310,943
HLA-DQB1,HLA-N,0.409549197683263,0.484732311238156,117,208
HLA-N,HLA-DQB1,0.409549197683263,0.484732311238156,117,208
HLA-DQB1,HLA-S,0.727645787266499,0.688620310256626,53,44
HLA-S,HLA-DQB1,0.727645787266499,0.688620310256626,53,44
HLA-DQB1,HLA-V,0.407360315149683,0.472386149575618,152,247
HLA-V,HLA-DQB1,0.407360315149683,0.472386149575618,152,247
HLA-DQB1,HLA-W,0.391695835380412,0.388619453473101,449,872
HLA-W,HLA-DQB1,0.391695835380412,0.388619453473101,449,872
HLA-DQB1,MICB,0.366191429808246,0.41722026536998,403,1001
MICB,HLA-DQB1,0.366191429808246,0.41722026536998,403,1001
