gene1,gene2,D,Wn,hap_num,sample_num,Wab,min_w
TRBV16,TRBV17,0.971599092565972,0.254159442293938,4,746,0.254159442293934,0.254159442293933
TRBV17,TRBV16,0.971599092565972,0.254159442293938,4,746,0.254159442293933,0.254159442293933
TRBV16,TRBV19,0.476997153010805,0.16010450383639,4,707,0.16010450383634,0.16010450383634
TRBV19,TRBV16,0.476997153010805,0.16010450383639,4,707,0.160104503836383,0.16010450383634
TRBV16,TRBV20-1,0.947970215526905,0.408623526918561,5,708,0.349243868067739,0.349243868067739
TRBV20-1,TRBV16,0.947970215526905,0.408623526918561,5,708,0.408623526918559,0.349243868067739
TRBV16,TRBV21-1,0.400153724586955,0.094579259285006,4,688,0.0945792592850075,0.0945792592850075
TRBV21-1,TRBV16,0.400153724586955,0.094579259285006,4,688,0.0945792592850104,0.0945792592850075
TRBV16,TRBV24-1,0.733247028089454,0.164856048964793,4,678,0.164856048964793,0.164856048964792
TRBV24-1,TRBV16,0.733247028089454,0.164856048964793,4,678,0.164856048964792,0.164856048964792
TRBV16,TRBV30,0.625478458752789,0.532597570010507,8,699,0.276330975912669,0.276330975912669
TRBV30,TRBV16,0.625478458752789,0.532597570010507,8,699,0.53259757001051,0.276330975912669
TRBV17,TRBJ1-6,0.200060797882658,0.123165520223202,4,670,0.123165520223198,0.123165520223198
TRBJ1-6,TRBV17,0.200060797882658,0.123165520223202,4,670,0.123165520223198,0.123165520223198
TRBV17,TRBJ2-7,0.690918186692285,0.127883678049483,4,688,0.127883678049488,0.127883678049484
TRBJ2-7,TRBV17,0.690918186692285,0.127883678049483,4,688,0.127883678049484,0.127883678049484
TRBV17,TRBV19,0.805233652509214,0.0727498733920813,4,728,0.0727498733921038,0.0727498733920842
TRBV19,TRBV17,0.805233652509214,0.0727498733920813,4,728,0.0727498733920842,0.0727498733920842
TRBV17,TRBV20-1,0.879651986563287,0.567982960413815,6,721,0.485079892404702,0.485079892404702
TRBV20-1,TRBV17,0.879651986563287,0.567982960413815,6,721,0.567982960413817,0.485079892404702
TRBV17,TRBV21-1,0.760458009982717,0.67583439740699,4,699,0.675834397406982,0.675834397406982
TRBV21-1,TRBV17,0.760458009982717,0.67583439740699,4,699,0.675834397406983,0.675834397406982
TRBV17,TRBV24-1,0.804027446520743,0.698594131791541,4,696,0.698594131791533,0.698594131791533
TRBV24-1,TRBV17,0.804027446520743,0.698594131791541,4,696,0.698594131791534,0.698594131791533
TRBV17,TRBV30,0.0684852109730007,0.106021234180932,8,705,0.0435162051889059,0.0435162051889059
TRBV30,TRBV17,0.0684852109730007,0.106021234180932,8,705,0.106021234180933,0.0435162051889059
TRBV19,TRBJ1-6,0.666099876813073,0.0921489267293734,4,668,0.0921489267293734,0.0921489267293408
TRBJ1-6,TRBV19,0.666099876813073,0.0921489267293734,4,668,0.0921489267293408,0.0921489267293408
TRBV19,TRBJ2-7,0.158434662821922,0.0790302772386806,4,686,0.0790302772387144,0.0790302772387144
TRBJ2-7,TRBV19,0.158434662821922,0.0790302772386806,4,686,0.0790302772387859,0.0790302772387144
TRBV19,TRBV20-1,0.99999994270001,0.145322306900008,5,743,0.12429154111599,0.12429154111599
TRBV20-1,TRBV19,0.99999994270001,0.145322306900008,5,743,0.145322306900012,0.12429154111599
TRBV19,TRBV21-1,0.869339797042324,0.209619572222388,4,711,0.209619572222392,0.209619572222392
TRBV21-1,TRBV19,0.869339797042324,0.209619572222388,4,711,0.209619572222429,0.209619572222392
TRBV19,TRBV24-1,0.999997233317804,0.0763447463759497,4,692,0.0763447463759496,0.0763447463759199
TRBV24-1,TRBV19,0.999997233317804,0.0763447463759497,4,692,0.0763447463759199,0.0763447463759199
TRBV19,TRBV30,0.74039133562471,0.217888492976865,8,703,0.130541544759905,0.130541544759905
TRBV30,TRBV19,0.74039133562471,0.217888492976865,8,703,0.217888492976851,0.130541544759905
TRBV20-1,TRBJ1-6,0.351648293930322,0.362612714055901,6,668,0.362612714055898,0.287835089668911
TRBJ1-6,TRBV20-1,0.351648293930322,0.362612714055901,6,668,0.287835089668911,0.287835089668911
TRBV20-1,TRBJ2-7,0.132940987590956,0.0410480822790689,6,689,0.041048082279027,0.0360450942649999
TRBJ2-7,TRBV20-1,0.132940987590956,0.0410480822790689,6,689,0.0360450942649999,0.0360450942649999
TRBV20-1,TRBV21-1,0.871867433773512,0.507214709920516,6,726,0.507214709920513,0.438447953660592
TRBV21-1,TRBV20-1,0.871867433773512,0.507214709920516,6,726,0.438447953660592,0.438447953660592
TRBV20-1,TRBV24-1,0.802896595469571,0.450438761912275,6,702,0.450438761912278,0.388902751771066
TRBV24-1,TRBV20-1,0.802896595469571,0.450438761912275,6,702,0.388902751771066,0.388902751771066
TRBV20-1,TRBV30,0.343910887662051,0.281996113432689,12,706,0.232958048431628,0.232958048431628
TRBV30,TRBV20-1,0.343910887662051,0.281996113432689,12,706,0.340845376248213,0.232958048431628
TRBV21-1,TRBJ1-6,0.42762030195274,0.233844650896373,4,664,0.233844650896374,0.233844650896374
TRBJ1-6,TRBV21-1,0.42762030195274,0.233844650896373,4,664,0.233844650896374,0.233844650896374
TRBV21-1,TRBJ2-7,0.311316933888944,0.0545091377374317,4,675,0.0545091377373913,0.0545091377373913
TRBJ2-7,TRBV21-1,0.311316933888944,0.0545091377374317,4,675,0.0545091377374187,0.0545091377373913
TRBV21-1,TRBV24-1,0.870494283438961,0.838673245369255,4,696,0.838673245369261,0.838673245369261
TRBV24-1,TRBV21-1,0.870494283438961,0.838673245369255,4,696,0.838673245369261,0.838673245369261
TRBV21-1,TRBV30,0.146397935710271,0.136401191680516,8,693,0.0896594492500871,0.0896594492500871
TRBV30,TRBV21-1,0.146397935710271,0.136401191680516,8,693,0.136401191680518,0.0896594492500871
TRBV24-1,TRBJ1-6,0.410797803196834,0.222214863344997,4,648,0.222214863344996,0.222214863344996
TRBJ1-6,TRBV24-1,0.410797803196834,0.222214863344997,4,648,0.222214863344997,0.222214863344996
TRBV24-1,TRBJ2-7,0.435649283479405,0.0707033567559165,4,674,0.0707033567558648,0.0707033567558648
TRBJ2-7,TRBV24-1,0.435649283479405,0.0707033567559165,4,674,0.070703356755904,0.0707033567558648
TRBV24-1,TRBV30,0.121006523487682,0.112530407091844,8,683,0.0648445166086371,0.0648445166086371
TRBV30,TRBV24-1,0.121006523487682,0.112530407091844,8,683,0.112530407091846,0.0648445166086371
TRBV2,TRBJ1-6,0.698036931693668,0.099584898477959,4,674,0.0995848984779591,0.0995848984779509
TRBJ1-6,TRBV2,0.698036931693668,0.099584898477959,4,674,0.0995848984779509,0.0995848984779509
TRBV2,TRBJ2-7,0.19793232985789,0.096218176745514,4,698,0.0962181767455148,0.0962181767455148
TRBJ2-7,TRBV2,0.19793232985789,0.096218176745514,4,698,0.0962181767455276,0.0962181767455148
TRBV2,TRBV10-1,0.16376945434428,0.0207772108576806,4,710,0.0207772108576806,0.0207772108575986
TRBV10-1,TRBV2,0.16376945434428,0.0207772108576806,4,710,0.0207772108575986,0.0207772108575986
TRBV2,TRBV10-2,0.0959731412952499,0.00475643945526658,4,728,0.0047564394552177,0.0047564394552177
