HLA_allele,KIR_allele,Pearson_r,p_value,p_value_PC_adjusted,bootstrap_pval,corr_tag,empirical_p_value,p_value_corrected,permutation_p_value,split_sample_replication_rate
MICB*002,TRBV30*03,-0.7573507793200884,7.488112614559161e-06,0.02799913376420138,0.055,HLA_vs_TCR,0.008,6.823980694780237e-05,0.012307692307692308,
MICB*002,TRBV30*02,0.7564587611961887,7.785749785990874e-06,0.015105522019200646,0.051,HLA_vs_TCR,0.0081,6.823980694780237e-05,0.012307692307692308,
MICA*004,TRBV30*02,0.7530638941284975,9.017420281970337e-06,0.02498140798882642,0.108,HLA_vs_TCR,0.0086,7.464420122297668e-05,0.012564102564102564,
HLA-U*01,TRGJP*01,0.7326044355064885,2.0856054210446484e-05,1.3145831462533142e-05,0.0,HLA_vs_TCR,0.0115,0.0001553776038678263,0.01769230769230769,0.5294117647058824
TAP2*02,TRAV9-2*01,0.7334821092307371,2.015034795994796e-05,0.047383820207195004,0.039,HLA_vs_TCR,0.0114,0.0001553776038678263,0.016923076923076923,0.3181818181818182
HLA-T*01,TRAV8-7*01,0.7272951812506427,2.5613109672089488e-05,0.0008466218744916914,0.002,HLA_vs_TCR,0.0124,0.00018173111148292066,0.01871794871794872,0.546875
HLA-T*01,TRAV8-7*02,-0.7246085708294986,2.8369036877905544e-05,0.0008660537394331906,0.003,HLA_vs_TCR,0.013,0.00019213574976399662,0.020256410256410257,0.4807692307692308
HLA-K*01,TRBJ1-3*01,0.71534804517408,3.9996180362798015e-05,0.0016873324770997036,0.065,HLA_vs_TCR,0.015,0.00025910569017638716,0.022564102564102566,0.7333333333333333
TAP2*02,TRAV21*01,-0.6866164649200804,0.00010728908312937695,0.0003867393132442067,0.0,HLA_vs_TCR,0.0241,0.0006394429354510866,0.028974358974358974,0.5652173913043478
HLA-K*01,TRBJ1-4*01,0.6872539059833486,0.00010509108401142038,0.0023693904475575764,0.021,HLA_vs_TCR,0.0238,0.0006394429354510866,0.028717948717948718,0.4
HLA-DRB1*04,TRAV35*02,-0.6851956061208068,0.00011233478961166301,0.009929324065653325,0.159,HLA_vs_TCR,0.0247,0.0006437647558514534,0.03,
TAP2*02,TRAV21*02,0.6796904199886182,0.0001339146433657044,0.0031192823349557655,0.0,HLA_vs_TCR,0.0261,0.0006909051143345899,0.03435897435897436,0.2
HLA-F*01,TRBJ1-5*01,0.6795590158269088,0.0001344714652060611,0.04189726896716198,0.057,HLA_vs_TCR,0.0261,0.0006909051143345899,0.03461538461538462,0.8571428571428571
MICB*002,TRAV8-7*01,0.6800505010426324,0.00013239919240068987,0.026093690161476342,0.035,HLA_vs_TCR,0.0261,0.0006909051143345899,0.033846153846153845,0.21428571428571427
HLA-K*01,TRBJ1-5*01,0.6758554317079489,0.00015102691358058742,0.003900761767247931,0.039,HLA_vs_TCR,0.0278,0.0007296911092393887,0.03487179487179487,0.5384615384615384
HLA-F*01,TRBD1*01,0.6756882113540834,0.0001518149287679265,0.04027348368998986,0.103,HLA_vs_TCR,0.0279,0.0007296911092393887,0.03487179487179487,0.8636363636363636
HLA-F*01,TRBJ1-4*01,0.6711943164221151,0.00017439186552472267,0.02375248237002163,0.048,HLA_vs_TCR,0.0298,0.00081201212384949,0.03743589743589744,0.8823529411764706
MICA*004,TRBV20-1*01,-0.6699731433382466,0.00018101499254975648,0.04662424071810761,0.044,HLA_vs_TCR,0.03,0.0008173101178761731,0.03794871794871795,
HLA-K*01,TRAV10*01,0.6518713378404433,0.00030857992177144185,0.005106916223113388,0.057,HLA_vs_TCR,0.038,0.0012944990750041005,0.045384615384615384,0.5217391304347826
HLA-DPA1*02,TRAV1-1*01,0.6519773522656689,0.00030764840648433615,0.02835034019333666,0.04,HLA_vs_TCR,0.038,0.0012944990750041005,0.045384615384615384,0.13636363636363635
HLA-DOB*01,TRBJ2-6*01,0.6513984805212688,0.00031276487718219883,0.009871152403725367,0.037,HLA_vs_TCR,0.0381,0.0012944990750041005,0.046153846153846156,0.7
HLA-K*01,TRBD1*01,0.6469119701923501,0.0003550085473396661,0.0044538258356508,0.016,HLA_vs_TCR,0.039,0.001429629014962439,0.04692307692307692,0.4444444444444444
HLA-B*15,TRBV10-1*01,0.6443354649477864,0.00038145463363257787,0.0014074257096649287,0.001,HLA_vs_TCR,0.0404,0.0014957036950330026,0.048205128205128206,0.25
MICA*004,TRBJ2-7*02,0.6415403118835377,0.0004120751248504453,0.03111285519012055,0.052,HLA_vs_TCR,0.0416,0.0015743382975055473,0.04974358974358974,
KIR2DL3*001,CYP2B6*1,0.8290643693608362,1.6678161546078491e-07,0.007168509464646703,0.001,KIR_vs_CYP,0.0018,5.670574925666687e-06,0.0024533856722276743,0.4482758620689655
KIR2DL4*001,CYP4F2*1,0.7568614901535922,7.650090011250252e-06,0.030183981070489002,0.012,KIR_vs_CYP,0.008,0.0001300515301912543,0.004416094210009814,0.21428571428571427
KIR2DL4*049,CYP2C8*1,0.6994027562171871,7.012880287671063e-05,0.0007096703002050023,0.0,KIR_vs_CYP,0.0195,0.0005063965060786705,0.022080471050049066,
KIR3DL1*015,NAT2*4,0.7064120128469529,5.503416156203881e-05,0.005527140698310436,0.014,KIR_vs_CYP,0.0176,0.0005063965060786705,0.020117762512266928,
KIR2DL1*003,CYP4F2*1,0.6976350312656213,7.447007442333391e-05,0.005401313325411672,0.027,KIR_vs_CYP,0.02,0.0005063965060786705,0.025024533856722278,0.5909090909090909
KIR2DP1*001,CYP2B6*6,0.6533972697329197,0.0002954070281300812,0.02920147761039705,0.071,KIR_vs_CYP,0.0378,0.001434834136631823,0.04563297350343474,
KIR2DS4*001,CYP4F2*3,-0.6537124325979177,0.0002927484888597629,0.03272787295420078,0.011,KIR_vs_CYP,0.0376,0.001434834136631823,0.04465161923454367,
KIR3DL2*001,IGLV3-13*01,0.8218137804443894,2.638531516467644e-07,0.002195154642523536,0.027,KIR_vs_IG,0.0023,5.250677717770612e-05,0.0,
