sample,gene,read_num
HG02630,KIR3DL1,46
HG02630,KIR3DL2,212
HG02630,KIR3DL3,77
HG02630,KIR3DP1,19
HG02630,KIR3DS1,62
HG02717,KIR2DL1,69
HG02717,KIR2DL2,0
HG02717,KIR2DL3,58
HG02717,KIR2DL4,102
HG02717,KIR2DL5A,0
HG02717,KIR2DL5B,0
HG02717,KIR2DP1,53
HG02717,KIR2DS1,0
HG02717,KIR2DS2,0
HG02717,KIR2DS3,0
HG02717,KIR2DS4,63
HG02717,KIR2DS5,0
HG02717,KIR3DL1,77
HG02717,KIR3DL2,189
HG02717,KIR3DL3,78
HG02717,KIR3DP1,14
HG02717,KIR3DS1,33
HG02723,KIR2DL1,34
HG02723,KIR2DL2,34
HG02723,KIR2DL3,12
HG02723,KIR2DL4,71
HG02723,KIR2DL5A,0
HG02723,KIR2DL5B,0
HG02723,KIR2DP1,15
HG02723,KIR2DS1,0
HG02723,KIR2DS2,28
HG02723,KIR2DS3,0
HG02723,KIR2DS4,66
HG02723,KIR2DS5,0
HG02723,KIR3DL1,52
HG02723,KIR3DL2,214
HG02723,KIR3DL3,59
HG02723,KIR3DP1,9
HG02723,KIR3DS1,0
HG02818,KIR2DL1,45
HG02818,KIR2DL2,0
HG02818,KIR2DL3,49
HG02818,KIR2DL4,69
HG02818,KIR2DL5A,0
HG02818,KIR2DL5B,0
HG02818,KIR2DP1,47
HG02818,KIR2DS1,0
HG02818,KIR2DS2,0
HG02818,KIR2DS3,0
HG02818,KIR2DS4,55
HG02818,KIR2DS5,0
HG02818,KIR3DL1,59
HG02818,KIR3DL2,172
HG02818,KIR3DL3,46
HG02818,KIR3DP1,5
HG02818,KIR3DS1,0
HG02886,KIR2DL1,92
HG02886,KIR2DL2,0
HG02886,KIR2DL3,75
HG02886,KIR2DL4,67
HG02886,KIR2DL5A,23
HG02886,KIR2DL5B,0
HG02886,KIR2DP1,71
HG02886,KIR2DS1,22
HG02886,KIR2DS2,0
HG02886,KIR2DS3,0
HG02886,KIR2DS4,33
HG02886,KIR2DS5,21
HG02886,KIR3DL1,21
HG02886,KIR3DL2,175
HG02886,KIR3DL3,71
HG02886,KIR3DP1,9
HG02886,KIR3DS1,16
HG03098,KIR2DL1,36
HG03098,KIR2DL2,13
HG03098,KIR2DL3,29
HG03098,KIR2DL4,26
HG03098,KIR2DL5A,5
HG03098,KIR2DL5B,4
HG03098,KIR2DP1,19
HG03098,KIR2DS1,27
HG03098,KIR2DS2,20
HG03098,KIR2DS3,0
HG03098,KIR2DS4,25
HG03098,KIR2DS5,15
HG03098,KIR3DL1,25
HG03098,KIR3DL2,133
HG03098,KIR3DL3,55
HG03098,KIR3DP1,5
HG03098,KIR3DS1,0
HG03453,KIR2DL1,84
HG03453,KIR2DL2,15
HG03453,KIR2DL3,38
HG03453,KIR2DL4,72
HG03453,KIR2DL5A,0
HG03453,KIR2DL5B,9
HG03453,KIR2DP1,63
HG03453,KIR2DS1,0
HG03453,KIR2DS2,0
HG03453,KIR2DS3,0
HG03453,KIR2DS4,66
HG03453,KIR2DS5,29
HG03453,KIR3DL1,86
HG03453,KIR3DL2,165
HG03453,KIR3DL3,70
HG03453,KIR3DP1,12
HG03453,KIR3DS1,0
HG03486,KIR2DL1,64
HG03486,KIR2DL2,0
HG03486,KIR2DL3,56
HG03486,KIR2DL4,68
HG03486,KIR2DL5A,0
HG03486,KIR2DL5B,0
HG03486,KIR2DP1,51
HG03486,KIR2DS1,0
HG03486,KIR2DS2,0
HG03486,KIR2DS3,0
HG03486,KIR2DS4,73
HG03486,KIR2DS5,0
HG03486,KIR3DL1,63
HG03486,KIR3DL2,130
HG03486,KIR3DL3,70
HG03486,KIR3DP1,7
HG03486,KIR3DS1,0
HG03492,KIR2DL1,48
HG03492,KIR2DL2,0
HG03492,KIR2DL3,42
HG03492,KIR2DL4,43
HG03492,KIR2DL5A,0
HG03492,KIR2DL5B,0
HG03492,KIR2DP1,50
HG03492,KIR2DS1,0
HG03492,KIR2DS2,0
HG03492,KIR2DS3,0
HG03492,KIR2DS4,44
HG03492,KIR2DS5,0
HG03492,KIR3DL1,43
HG03492,KIR3DL2,145
HG03492,KIR3DL3,51
HG03492,KIR3DP1,6
HG03492,KIR3DS1,0
HG03516,KIR2DL1,62
HG03516,KIR2DL2,19
HG03516,KIR2DL3,31
HG03516,KIR2DL4,51
HG03516,KIR2DL5A,2
HG03516,KIR2DL5B,5
HG03516,KIR2DP1,56
HG03516,KIR2DS1,0
HG03516,KIR2DS2,20
HG03516,KIR2DS3,18
HG03516,KIR2DS4,65
HG03516,KIR2DS5,0
HG03516,KIR3DL1,53
HG03516,KIR3DL2,168
HG03516,KIR3DL3,59
HG03516,KIR3DP1,10
HG03516,KIR3DS1,0
HG03540,KIR2DL1,94
HG03540,KIR2DL2,0
HG03540,KIR2DL3,71
HG03540,KIR2DL4,76
HG03540,KIR2DL5A,0
HG03540,KIR2DL5B,0
HG03540,KIR2DP1,62
HG03540,KIR2DS1,0
HG03540,KIR2DS2,0
HG03540,KIR2DS3,0
HG03540,KIR2DS4,42
HG03540,KIR2DS5,0
HG03540,KIR3DL1,69
HG03540,KIR3DL2,144
HG03540,KIR3DL3,82
HG03540,KIR3DP1,10
HG03540,KIR3DS1,0
HG03579,KIR2DL1,72
HG03579,KIR2DL2,19
HG03579,KIR2DL3,39
HG03579,KIR2DL4,80
HG03579,KIR2DL5A,1
HG03579,KIR2DL5B,9
HG03579,KIR2DP1,52
HG03579,KIR2DS1,0
HG03579,KIR2DS2,30
HG03579,KIR2DS3,20
HG03579,KIR2DS4,80
HG03579,KIR2DS5,0
HG03579,KIR3DL1,72
HG03579,KIR3DL2,182
HG03579,KIR3DL3,83
HG03579,KIR3DP1,15
HG03579,KIR3DS1,0
NA18906,KIR2DL1,64
NA18906,KIR2DL2,0
NA18906,KIR2DL3,57
NA18906,KIR2DL4,46
NA18906,KIR2DL5A,0
NA18906,KIR2DL5B,0
NA18906,KIR2DP1,59
NA18906,KIR2DS1,0
NA18906,KIR2DS2,0
NA18906,KIR2DS3,0
NA18906,KIR2DS4,64
NA18906,KIR2DS5,0
NA18906,KIR3DL1,72
NA18906,KIR3DL2,147
NA18906,KIR3DL3,75
NA18906,KIR3DP1,8
NA18906,KIR3DS1,0
NA19240,KIR2DL1,41
NA19240,KIR2DL2,13
NA19240,KIR2DL3,28
NA19240,KIR2DL4,32
NA19240,KIR2DL5A,0
NA19240,KIR2DL5B,13
NA19240,KIR2DP1,23
NA19240,KIR2DS1,22
NA19240,KIR2DS2,19
NA19240,KIR2DS3,0
NA19240,KIR2DS4,47
NA19240,KIR2DS5,14
NA19240,KIR3DL1,38
NA19240,KIR3DL2,177
NA19240,KIR3DL3,56
NA19240,KIR3DP1,4
NA19240,KIR3DS1,0
NA20129,KIR2DL1,33
NA20129,KIR2DL2,25
NA20129,KIR2DL3,20
NA20129,KIR2DL4,47
NA20129,KIR2DL5A,7
NA20129,KIR2DL5B,1
NA20129,KIR2DP1,24
NA20129,KIR2DS1,17
NA20129,KIR2DS2,21
NA20129,KIR2DS3,0
NA20129,KIR2DS4,18
NA20129,KIR2DS5,25
NA20129,KIR3DL1,29
NA20129,KIR3DL2,179
NA20129,KIR3DL3,44
NA20129,KIR3DP1,11
NA20129,KIR3DS1,23
NA21309,KIR2DL1,70
NA21309,KIR2DL2,15
NA21309,KIR2DL3,26
NA21309,KIR2DL4,74
NA21309,KIR2DL5A,0
NA21309,KIR2DL5B,14
NA21309,KIR2DP1,38
NA21309,KIR2DS1,0
NA21309,KIR2DS2,0
NA21309,KIR2DS3,0
NA21309,KIR2DS4,64
NA21309,KIR2DS5,18
NA21309,KIR3DL1,48
NA21309,KIR3DL2,161
NA21309,KIR3DL3,69
NA21309,KIR3DP1,15
NA21309,KIR3DS1,0
