Allele_1,Allele_2,Family_1,Family_2,Stability_Score
IGLV6-57*02,TRDV2*03,IG,TCR,0.76
CYP2C19*17,TRAJ13*01,CYP,TCR,0.76
IGLV2-14*03,IGLV2-14*04,IG,IG,0.76
IGKV1-16*02,IGHV4-4*01,IG,IG,0.76
IGLV7-43*01,IGLV3-22*01,IG,IG,0.76
CYP3A4*20,TRAV26-1*01,CYP,TCR,0.76
MICA*010,IGLV1-47*02,HLA,IG,0.76
KIR2DP1*003,KIR2DL1*002,KIR,KIR,0.75
HLA-DRB1*08,KIR3DL3*009,HLA,KIR,0.75
HLA-C*02,IGHV3-71*01,HLA,IG,0.75
MICA*008,HLA-B*40,HLA,HLA,0.75
IGKV3D-15*01,IGKV3D-15*03,IG,IG,0.75
IGHV8-51-1*05,IGHV4-55*02,IG,IG,0.75
HLA-F*01,KIR2DS3*001,HLA,KIR,0.75
IGHV7-4-1*02,TRAV27*03,IG,TCR,0.75
HLA-B*58,TRAV8-4*01,HLA,TCR,0.75
IGHV2-70*01,IGLV2-5*02,IG,IG,0.75
IGKV2-30*01,IGKV2-29*02,IG,IG,0.75
KIR3DL2*126,CYP2C9*11,KIR,CYP,0.75
HLA-DPB2*03,IGKV2D-18*01,HLA,IG,0.75
IGKV3-20*01,IGKV1D-8*02,IG,IG,0.75
TRBV7-3*03,TRBV10-2*02,TCR,TCR,0.75
MICA*004,IGHV4-4*10,HLA,IG,0.75
TRBV10-2*01,TRBV7-3*03,TCR,TCR,0.75
IGHV5-10-1*01,IGHV2-70D*14,IG,IG,0.75
NAT2*1,IGHV4-59*11,CYP,IG,0.75
HLA-DQB1*03,IGKV5-2*02,HLA,IG,0.75
HLA-DOA*01,TRBV7-9*03,HLA,TCR,0.75
IGHV4-31*01,TRAV1-1*02,IG,TCR,0.75
HLA-W*01,TRGJP*01,HLA,TCR,0.74
IGLV1-36*01,IGLV5-37*03,IG,IG,0.74
HLA-P*01,IGHD5-12*01,HLA,IG,0.74
IGLV2-11*01,IGLV3-9*01,IG,IG,0.74
IGHV3-48*03,IGHV3-48*04,IG,IG,0.74
IGLV2-33*01,TRBV30*02,IG,TCR,0.74
HLA-C*06,IGHV3-49*04,HLA,IG,0.74
MICA*010,IGHV1-69*01,HLA,IG,0.74
KIR2DS4*010,TRAV30*01,KIR,TCR,0.74
HLA-C*15,TRBV7-9*01,HLA,TCR,0.74
SLCO1B1*20,IGKV1D-12*02,CYP,IG,0.74
IGHD6-6*01,IGHD4-4*01,IG,IG,0.74
IGLV5-45*03,IGHD2-2*01,IG,IG,0.74
IGKV2D-18*01,IGKV3D-7*01,IG,IG,0.74
IGKV4-1*01,TRDV2*02,IG,TCR,0.74
HLA-DQA1*03,MICB*052,HLA,HLA,0.74
IGHV3-66*04,IGHV2-70*15,IG,IG,0.74
HLA-C*01,KIR2DP1*031,HLA,KIR,0.74
KIR3DL2*010,TRBV6-6*03,KIR,TCR,0.74
CYP2B6*2,IGKV1D-42*01,CYP,IG,0.74
IGHV1-45*02,IGHV3-43*02,IG,IG,0.74
HLA-DRB1*12,CYP2D6*132,HLA,CYP,0.74
HLA-DQB1*05,HLA-C*01,HLA,HLA,0.74
HLA-DRB3*02,IGHV4-31*03,HLA,IG,0.74
IGHV3-30*18,IGHV3-30*04,IG,IG,0.74
CYP3A4*20,TRAV26-1*02,CYP,TCR,0.74
IGLV3-9*01,IGLV4-3*01,IG,IG,0.73
HLA-DPB1*02,IGHV3-43*01,HLA,IG,0.73
KIR3DL3*008,IGHD3-22*01,KIR,IG,0.73
IGHV7-81*01,IGKV3D-20*01,IG,IG,0.73
TRBV10-3*03,TRBV11-3*04,TCR,TCR,0.73
CYP3A5*7,IGHV3-30*04,CYP,IG,0.73
IGHV4-55*02,IGHV3-11*04,IG,IG,0.73
HLA-DOA*01,IGKV1-27*01,HLA,IG,0.73
HLA-C*03,CYP2D6*132,HLA,CYP,0.73
TRBV11-3*01,TRBV10-3*03,TCR,TCR,0.73
KIR3DL1*005,IGHV1-69*01,KIR,IG,0.73
HLA-B*40,IGHV4-61*12,HLA,IG,0.73
CYP2A6*46,IGLV3-10*01,CYP,IG,0.73
HLA-A*01,HLA-B*08,HLA,HLA,0.73
HLA-DRB1*12,NAT2*7,HLA,CYP,0.73
HLA-C*05,CYP4F2*4,HLA,CYP,0.73
KIR2DL1*002,IGHV4-28*06,KIR,IG,0.73
TRAV8-7*01,TRBV15*01,TCR,TCR,0.73
IGHD2-8*01,IGHD1-7*01,IG,IG,0.73
KIR2DP1*009,TRBV10-1*01,KIR,TCR,0.73
HLA-DRB1*13,TRBV10-3*02,HLA,TCR,0.73
IGKV3D-15*02,IGHV5-51*03,IG,IG,0.73
IGLV3-13*02,IGLV1-47*02,IG,IG,0.73
IGHV3-49*03,TRBV7-2*02,IG,TCR,0.72
HLA-DPB1*13,KIR3DL3*077,HLA,KIR,0.72
HLA-T*03,IGHV3-13*05,HLA,IG,0.72
MICA*010,IGHV7-4-1*01,HLA,IG,0.72
IGKV3-7*05,IGKV1-9*03,IG,IG,0.72
HLA-DRB1*03,IGHV3-54*07,HLA,IG,0.72
MICA*009,CYP4F2*4,HLA,CYP,0.72
HLA-DPA1*03,HLA-DRB3*01,HLA,HLA,0.72
IGHV1-46*01,IGHV1-46*03,IG,IG,0.72
IGKV1-5*04,IGHV3-54*02,IG,IG,0.72
IGHV3-41*02,IGHV3-71*03,IG,IG,0.72
HLA-B*13,TRBV10-1*02,HLA,TCR,0.72
IGLV6-57*03,IGLV6-57*01,IG,IG,0.72
KIR3DL2*010,IGLV2-18*02,KIR,IG,0.72
IGLV3-25*03,IGHV2-5*11,IG,IG,0.72
IGKV2D-28*01,TRAV6*02,IG,TCR,0.72
