Pop,Gene,hete,hhomo,hete_freq
other,TRGV3,52,491,0.09576427255985268
AFR,TRGV3,0,172,0.0
other,TRBV10-1,226,359,0.38632478632478634
AFR,TRBV10-1,90,125,0.4186046511627907
other,IGHD4-17,0,6,0.0
AFR,IGHD4-17,0,7,0.0
other,IGKV1-9,41,106,0.2789115646258503
AFR,IGKV1-9,12,55,0.1791044776119403
other,TRAJ38,0,539,0.0
AFR,TRAJ38,0,182,0.0
other,TRBJ1-4,0,563,0.0
AFR,TRBJ1-4,0,206,0.0
other,IGLV5-52,0,569,0.0
AFR,IGLV5-52,0,214,0.0
other,IGHV3-30-2,289,210,0.5791583166332666
AFR,IGHV3-30-2,49,67,0.4224137931034483
other,IGKV1D-16,40,498,0.07434944237918216
AFR,IGKV1D-16,2,173,0.011428571428571429
other,IGHV3-32,3,8,0.2727272727272727
AFR,IGHV3-32,0,10,0.0
other,TRAJ52,0,580,0.0
AFR,TRAJ52,0,214,0.0
other,IGKV1D-43,0,515,0.0
AFR,IGKV1D-43,0,162,0.0
other,TRBJ1-2,0,563,0.0
AFR,TRBJ1-2,0,202,0.0
other,IGKV1-5,25,91,0.21551724137931033
AFR,IGKV1-5,3,37,0.075
other,TRBV19,1,587,0.0017006802721088435
AFR,TRBV19,31,185,0.14351851851851852
other,TRBD1,0,574,0.0
AFR,TRBD1,0,207,0.0
other,IGLV3-22,28,279,0.09120521172638436
AFR,IGLV3-22,46,97,0.32167832167832167
other,TRAJ17,0,609,0.0
AFR,TRAJ17,0,203,0.0
other,IGLV3-31,0,501,0.0
AFR,IGLV3-31,0,190,0.0
other,IGLV3-32,0,498,0.0
AFR,IGLV3-32,0,184,0.0
other,TRBJ2-4,0,523,0.0
AFR,TRBJ2-4,0,189,0.0
other,TRDV2,290,313,0.48092868988391374
AFR,TRDV2,74,149,0.33183856502242154
other,TRBV10-3,281,301,0.48281786941580757
AFR,TRBV10-3,107,108,0.49767441860465117
other,IGKJ5,0,127,0.0
AFR,IGKJ5,0,53,0.0
other,TRBV16,24,554,0.04152249134948097
AFR,TRBV16,100,115,0.46511627906976744
other,IGHD7-27,0,1,0.0
AFR,IGHD7-27,0,3,0.0
other,TRGV2,302,274,0.5243055555555556
AFR,TRGV2,91,111,0.4504950495049505
other,TRBV7-2,201,394,0.3378151260504202
AFR,TRBV7-2,84,134,0.3853211009174312
other,TRAJ26,0,602,0.0
AFR,TRAJ26,0,222,0.0
other,TRAV1-1,183,421,0.3029801324503311
AFR,TRAV1-1,89,131,0.40454545454545454
other,TRBV7-9,222,358,0.38275862068965516
AFR,TRBV7-9,36,146,0.1978021978021978
other,TRAV8-4,229,371,0.38166666666666665
AFR,TRAV8-4,88,127,0.40930232558139534
other,IGHV3-23,71,380,0.1574279379157428
AFR,IGHV3-23,30,79,0.27522935779816515
other,TRBV6-6,258,328,0.4402730375426621
AFR,TRBV6-6,77,137,0.3598130841121495
other,IGHV3-15,5,236,0.02074688796680498
AFR,IGHV3-15,0,84,0.0
other,TRAJ1,0,598,0.0
AFR,TRAJ1,0,153,0.0
other,IGKV3D-11,202,346,0.3686131386861314
