Pop,Allele,Count,Total,Frequency
CDX,*146,0,78,0.0
CDX,*171x3,0,78,0.0
CDX,*19,0,78,0.0
CDX,*4,1,78,0.01282051282051282
CDX,*43,0,78,0.0
CDX,*10,19,78,0.24358974358974358
CDX,*86,0,78,0.0
CDX,*33,0,78,0.0
CDX,*170,0,78,0.0
CDX,*88,0,78,0.0
CDX,*68,0,78,0.0
CDX,*84,0,78,0.0
CDX,*9,0,78,0.0
CDX,*1,18,78,0.23076923076923078
CDX,*36x2+*10,1,78,0.01282051282051282
CDX,*38,0,78,0.0
CDX,*169,0,78,0.0
CDX,*171,0,78,0.0
CDX,*2x3,0,78,0.0
CDX,*18,0,78,0.0
CDX,*36,0,78,0.0
CDX,*59,0,78,0.0
CDX,*108,1,78,0.01282051282051282
CDX,*6,0,78,0.0
CLM,*89,0,81,0.0
CLM,*106,0,81,0.0
CLM,*4.013,0,81,0.0
CLM,*113,0,81,0.0
CLM,*110,0,81,0.0
CLM,*45,0,81,0.0
CLM,*100,0,81,0.0
CLM,*14,0,81,0.0
CLM,*15,0,81,0.0
CLM,*17,1,81,0.012345679012345678
CLM,*32,0,81,0.0
CLM,*122,0,81,0.0
CLM,*36+*10,0,81,0.0
CLM,*58,0,81,0.0
CLM,*3,2,81,0.024691358024691357
CLM,*5,0,81,0.0
CLM,*151,0,81,0.0
CLM,*2x2,0,81,0.0
CLM,*27,1,81,0.012345679012345678
CLM,*75,0,81,0.0
CLM,*11,0,81,0.0
CLM,*60,0,81,0.0
CLM,*119,0,81,0.0
CLM,*92,0,81,0.0
CLM,*35,2,81,0.024691358024691357
CLM,*121,0,81,0.0
CLM,*28,0,81,0.0
CLM,*7,0,81,0.0
CLM,*64,0,81,0.0
CLM,*68+*4,3,81,0.037037037037037035
CLM,*165,0,81,0.0
CLM,*1x2,0,81,0.0
CLM,*17x2,0,81,0.0
CLM,*41,5,81,0.06172839506172839
CLM,*125,0,81,0.0
CLM,*150,0,81,0.0
CLM,*2,16,81,0.19753086419753085
CLM,*144,0,81,0.0
CLM,*145,0,81,0.0
CLM,*127,0,81,0.0
CLM,*90,0,81,0.0
CLM,*29,0,81,0.0
CLM,*82,1,81,0.012345679012345678
CLM,*21,0,81,0.0
CLM,*115,0,81,0.0
CLM,*129,0,81,0.0
CLM,*31,0,81,0.0
CLM,*166,0,81,0.0
CLM,*49,0,81,0.0
CLM,*22,0,81,0.0
CLM,*117,0,81,0.0
CLM,*4x2,0,81,0.0
CLM,*10+*10,0,81,0.0
CLM,*4.013+*4,0,81,0.0
CLM,*56,1,81,0.012345679012345678
CLM,*136,0,81,0.0
CLM,*68+*2,0,81,0.0
CLM,*171x2,0,81,0.0
CLM,*141,0,81,0.0
CLM,*43x3,1,81,0.012345679012345678
CLM,*112,0,81,0.0
CLM,*120,0,81,0.0
CLM,*71,0,81,0.0
CLM,*101,0,81,0.0
CLM,*83,0,81,0.0
CLM,*46,0,81,0.0
CLM,*111,0,81,0.0
CLM,*39,1,81,0.012345679012345678
CLM,*74,0,81,0.0
CLM,*99,0,81,0.0
CLM,*159,0,81,0.0
CLM,*132,0,81,0.0
CLM,*146,2,81,0.024691358024691357
CLM,*171x3,0,81,0.0
CLM,*19,0,81,0.0
CLM,*4,11,81,0.13580246913580246
CLM,*43,1,81,0.012345679012345678
CLM,*10,4,81,0.04938271604938271
CLM,*86,0,81,0.0
CLM,*33,0,81,0.0
CLM,*170,0,81,0.0
CLM,*88,0,81,0.0
CLM,*68,0,81,0.0
CLM,*84,0,81,0.0
CLM,*9,1,81,0.012345679012345678
CLM,*1,24,81,0.2962962962962963
CLM,*36x2+*10,0,81,0.0
CLM,*38,1,81,0.012345679012345678
CLM,*169,0,81,0.0
CLM,*171,1,81,0.012345679012345678
CLM,*2x3,0,81,0.0
CLM,*18,0,81,0.0
CLM,*36,0,81,0.0
CLM,*59,0,81,0.0
CLM,*108,0,81,0.0
CLM,*6,2,81,0.024691358024691357
IBS,*89,0,66,0.0
IBS,*106,0,66,0.0
IBS,*4.013,0,66,0.0
IBS,*113,0,66,0.0
IBS,*110,0,66,0.0
IBS,*45,0,66,0.0
IBS,*100,0,66,0.0
IBS,*14,0,66,0.0
IBS,*15,0,66,0.0
IBS,*17,1,66,0.015151515151515152
IBS,*32,2,66,0.030303030303030304
IBS,*122,0,66,0.0
IBS,*36+*10,0,66,0.0
IBS,*58,0,66,0.0
IBS,*3,1,66,0.015151515151515152
IBS,*5,1,66,0.015151515151515152
IBS,*151,1,66,0.015151515151515152
IBS,*2x2,2,66,0.030303030303030304
IBS,*27,0,66,0.0
IBS,*75,0,66,0.0
IBS,*11,0,66,0.0
IBS,*60,0,66,0.0
IBS,*119,0,66,0.0
IBS,*92,0,66,0.0
IBS,*35,3,66,0.045454545454545456
IBS,*121,1,66,0.015151515151515152
IBS,*28,1,66,0.015151515151515152
IBS,*7,0,66,0.0
IBS,*64,0,66,0.0
IBS,*68+*4,0,66,0.0
IBS,*165,0,66,0.0
IBS,*1x2,1,66,0.015151515151515152
IBS,*17x2,0,66,0.0
IBS,*41,9,66,0.13636363636363635
IBS,*125,0,66,0.0
IBS,*150,0,66,0.0
IBS,*2,10,66,0.15151515151515152
IBS,*144,0,66,0.0
IBS,*145,0,66,0.0
IBS,*127,0,66,0.0
IBS,*90,0,66,0.0
IBS,*29,0,66,0.0
IBS,*82,0,66,0.0
IBS,*21,0,66,0.0
IBS,*115,0,66,0.0
IBS,*129,0,66,0.0
IBS,*31,0,66,0.0
IBS,*166,0,66,0.0
IBS,*49,0,66,0.0
IBS,*22,0,66,0.0
IBS,*117,0,66,0.0
IBS,*4x2,0,66,0.0
IBS,*10+*10,0,66,0.0
IBS,*4.013+*4,0,66,0.0
IBS,*56,0,66,0.0
IBS,*136,1,66,0.015151515151515152
IBS,*68+*2,0,66,0.0
IBS,*171x2,0,66,0.0
IBS,*141,2,66,0.030303030303030304
IBS,*43x3,0,66,0.0
IBS,*112,0,66,0.0
IBS,*120,0,66,0.0
IBS,*71,0,66,0.0
IBS,*101,0,66,0.0
IBS,*83,0,66,0.0
IBS,*46,0,66,0.0
IBS,*111,0,66,0.0
IBS,*39,0,66,0.0
IBS,*74,0,66,0.0
IBS,*99,0,66,0.0
IBS,*159,0,66,0.0
IBS,*132,0,66,0.0
IBS,*146,0,66,0.0
IBS,*171x3,0,66,0.0
IBS,*19,0,66,0.0
IBS,*4,5,66,0.07575757575757576
IBS,*43,0,66,0.0
IBS,*10,1,66,0.015151515151515152
IBS,*86,0,66,0.0
IBS,*33,0,66,0.0
IBS,*170,0,66,0.0
IBS,*88,0,66,0.0
IBS,*68,1,66,0.015151515151515152
IBS,*84,0,66,0.0
IBS,*9,3,66,0.045454545454545456
IBS,*1,18,66,0.2727272727272727
IBS,*36x2+*10,0,66,0.0
