Group1,Group2,JSD
PJL,GBR,0.4078346836814705
PJL,FIN,0.4160870974714289
PJL,CHS,0.4444204218176299
PJL,PUR,0.4089260694471453
PJL,CDX,0.46456982076223113
PJL,CLM,0.3933997302711222
PJL,IBS,0.39817303811637633
PJL,PEL,0.423512103452762
PJL,PJL,0.0
PJL,KHV,0.3973083285121018
PJL,ACB,0.45023519981887467
PJL,GWD,0.4915040868982009
PJL,ESN,0.4758838311053868
PJL,BEB,0.31019552003021716
PJL,MSL,0.5005673377291096
PJL,STU,0.3296699887556105
PJL,ITU,0.31517380977043846
PJL,CEU,0.4283660800838964
PJL,YRI,0.4766071741906997
PJL,CHB,0.382153211952882
PJL,JPT,0.44486628756182006
PJL,LWK,0.48324604477512845
PJL,MXL,0.4297933417860617
PJL,ASW,0.449892667073999
PJL,TSI,0.3797723486372729
PJL,GIH,0.3019973336680071
KHV,GBR,0.4358719577630587
KHV,FIN,0.4328182009680785
KHV,CHS,0.3361928713452251
KHV,PUR,0.4361895758854674
KHV,CDX,0.344398409762534
KHV,CLM,0.433896786901832
KHV,IBS,0.43415305080405686
KHV,PEL,0.4328793017541191
KHV,PJL,0.3973083285121018
KHV,KHV,0.0
KHV,ACB,0.47755152591998484
KHV,GWD,0.5180678824287134
KHV,ESN,0.4948939049359301
KHV,BEB,0.36300434694453343
KHV,MSL,0.508809903908705
KHV,STU,0.36418028095149024
KHV,ITU,0.3906831332452637
KHV,CEU,0.45437815533235154
KHV,YRI,0.5072818187752537
KHV,CHB,0.3300758959901371
KHV,JPT,0.3877921889747145
KHV,LWK,0.4959566121211022
KHV,MXL,0.4326992294677482
KHV,ASW,0.46553879073953525
KHV,TSI,0.427459251304335
KHV,GIH,0.38748010496818136
ACB,GBR,0.39532586449211427
ACB,FIN,0.4457168304676711
ACB,CHS,0.5238064114425095
ACB,PUR,0.3669054597165228
ACB,CDX,0.5372366389244597
ACB,CLM,0.3973787019503342
ACB,IBS,0.39900383587014365
ACB,PEL,0.46879959204665034
ACB,PJL,0.45023519981887467
ACB,KHV,0.47755152591998484
ACB,ACB,0.0
ACB,GWD,0.3307231431479521
ACB,ESN,0.26834403005536034
ACB,BEB,0.464397620034301
ACB,MSL,0.30981810233112256
ACB,STU,0.45958404396339725
ACB,ITU,0.4667472718057082
ACB,CEU,0.4419438817820353
ACB,YRI,0.301570077434793
ACB,CHB,0.46766513423636236
ACB,JPT,0.5205554376096135
ACB,LWK,0.31426877294998734
