Population,Locus,Diversity
CHS,HLA-DPB2,1.3128881947689564
CHS,HLA-DQA1,2.8037740175599732
CHS,HLA-DQA2,0.5917484070260922
CHS,HLA-DQB1,2.6290593649058387
CHS,HLA-DQB2,1.1697169517424424
CHS,HLA-DRA,2.120215205339246
CHS,HLA-DRB1,3.4667469520616763
CHS,HLA-DRB3,1.200224452806731
CHS,HLA-DRB4,1.580089912188786
CHS,HLA-DRB5,1.8120646022103868
CHS,HLA-E,1.777902345014411
CHS,HLA-F,1.9288199836534219
CHS,HLA-G,1.8385853292767853
CHS,HLA-H,1.4490576395544803
CHS,HLA-J,1.3454962381574118
CHS,HLA-K,1.2221433522793208
CHS,HLA-L,0.9382938151279137
CHS,HLA-N,1.1366756661207047
CHS,HLA-P,0.8960152479987739
CHS,HLA-S,1.2912247552166385
CHS,HLA-T,1.4268853909406243
CHS,HLA-U,0.8554201652935873
CHS,HLA-V,0.936922918593922
CHS,HLA-W,1.4950679264898719
CHS,HLA-Y,-0.0
CHS,MICA,2.199921102331187
CHS,MICB,1.359320209605333
CHS,TAP1,1.3890118013768806
CHS,TAP2,1.9811234654742
CLM,HFE,1.0012628283087175
CLM,HLA-A,3.4255979156958674
CLM,HLA-B,3.4953655182784416
CLM,HLA-C,3.228433351489685
CLM,HLA-DMA,1.4713058119815745
CLM,HLA-DMB,1.6190639490231378
CLM,HLA-DOA,2.2702804687611526
CLM,HLA-DOB,1.7496461171428854
CLM,HLA-DPA1,2.2563359917970547
CLM,HLA-DPA2,1.4849264603902597
CLM,HLA-DPB1,3.158357770875786
CLM,HLA-DPB2,1.3455552231454768
CLM,HLA-DQA1,2.9609897400180905
CLM,HLA-DQA2,1.6717062281960737
CLM,HLA-DQB1,3.1461825531855174
CLM,HLA-DQB2,1.8325053520478427
CLM,HLA-DRA,2.6076948579163566
CLM,HLA-DRB1,3.7208682758360307
CLM,HLA-DRB3,1.9361597804847606
CLM,HLA-DRB4,1.8527215544191324
CLM,HLA-DRB5,1.6891674047501288
CLM,HLA-E,1.5145331607055454
CLM,HLA-F,2.105082132250017
CLM,HLA-G,2.710405668158451
CLM,HLA-H,2.321825890382374
CLM,HLA-J,2.3076106626589743
CLM,HLA-K,1.4993439715054377
CLM,HLA-L,1.3921370970265334
CLM,HLA-N,1.1852315085242866
CLM,HLA-P,1.2031272497983996
