Sample1,Sample2,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
NA19238,NA21102,0.03345,0.0236,0.02095,0.01615,0.01425,0.00675,0.04045,0.03705,0.0213,0.006699999999999999
NA19238,HG03742,0.017849999999999998,0.01225,0.01295,0.01585,0.0081,0.00935,0.0352,0.04195,0.03735,0.00635
NA19238,NA20883,0.018,0.011500000000000002,0.0064,0.016,0.013649999999999999,0.00885,0.03515,0.04145,0.0445,0.002
NA19238,HG04149,0.0174,0.022449999999999998,0.01185,0.01585,0.0115,0.0021,0.0037,0.030850000000000002,0.06855,0.005549999999999999
NA19238,HG03900,0.0313,0.02525,0.02045,0.01565,0.00455,0.00435,0.06395,0.07289999999999999,0.0413,0.004399999999999999
NA19238,NA21101,0.017249999999999998,0.0033,0.00965,0.0025499999999999997,0.011099999999999999,0.00895,0.06715,0.07405,0.0055,0.00345
HG02678,HG03039,0.02695,0.0217,0.02535,0.00135,0.0038000000000000004,0.004450000000000001,0.0665,0.01275,0.0377,0.00615
HG02678,HG03159,0.01245,0.01165,0.0136,0.00025,0.00225,0.0038000000000000004,0.0364,0.0397,0.0067,0.00685
HG02678,NA19024,0.0217,0.01935,0.013099999999999999,0.03175,0.0142,0.0052499999999999995,0.07114999999999999,0.05925,0.065,0.0115
HG02678,HG02611,0.00515,0.01595,0.02555,0.0189,0.00525,0.0040999999999999995,0.0367,0.040049999999999995,0.0183,0.0081
HG02678,HG02836,0.026099999999999998,0.015899999999999997,0.02635,0.00039999999999999996,0.0148,0.00145,0.00115,0.00045000000000000004,0.011300000000000001,0.00375
HG02678,HG01890,0.01875,0.0222,0.0184,0.015899999999999997,0.014,0.00405,0.0711,0.06764999999999999,0.055650000000000005,0.008
HG02678,NA19921,0.0175,0.01225,0.0094,0.01585,0.0129,0.0041,0.0053,0.0256,0.01215,0.0051
HG02678,HG02003,0.0173,0.01845,0.02535,0.00315,0.00505,0.0027,0.0712,0.0502,0.055150000000000005,0.00255
HG02678,HG01455,0.01345,0.01715,0.021249999999999998,0.03185,0.0218,0.004,0.0712,0.05065,0.05245,0.0091
HG02678,NA19675,0.00145,0.022199999999999998,0.0201,0.032549999999999996,0.02275,0.0040999999999999995,0.01615,0.050350000000000006,0.0416,0.00885
HG02678,HG01085,0.017849999999999998,0.0206,0.02185,0.0316,0.0223,0.0035,0.0037,0.0263,0.04905,0.0052499999999999995
HG02678,HG01048,0.0177,0.0156,0.02185,0.03145,0.02155,0.004,0.0715,0.02555,0.0608,0.008199999999999999
HG02678,HG02275,0.013600000000000001,0.0141,0.00885,0.016100000000000003,0.02515,0.0038,0.0703,0.06470000000000001,0.0745,0.00235
HG02678,HG01577,0.0076,0.021900000000000003,0.0208,0.0317,0.02155,0.00395,0.043800000000000006,0.05715,0.00835,0.00235
HG02678,HG01950,0.020800000000000003,0.0177,0.02615,0.03165,0.02155,0.0041,0.03765,0.025500000000000002,0.06015,0.00235
HG02678,HG00739,0.02445,0.02155,0.00835,0.03165,0.0132,0.0044,0.00105,0.00055,0.00635,0.00245
HG02678,HG01241,0.01565,0.011,0.00105,0.03195,0.02265,0.00375,0.07064999999999999,0.06764999999999999,0.07385,0.0089
HG02678,HG00634,0.024599999999999997,0.02195,0.018699999999999998,0.030199999999999998,0.00435,0.029,0.07145,0.05935,0.04865,0.0033499999999999997
HG02678,NA18983,0.0079,0.013250000000000001,0.025500000000000002,0.0189,0.0133,0.00705,0.0361,0.02545,0.022949999999999998,0.00645
HG02678,HG02390,0.0261,0.0144,0.0239,0.004,0.0051,0.00235,0.07035,0.0774,0.03985,0.00355
HG02678,HG02382,0.019299999999999998,0.0143,0.02205,0.01865,0.01295,0.00415,0.03785,0.05995,0.029,0.0030499999999999998
HG02678,HG02184,0.01745,0.0105,0.019749999999999997,0.0030499999999999998,0.0041,0.0039,0.07050000000000001,0.07314999999999999,0.0157,0.0043
HG02678,NA18941,0.0307,0.008799999999999999,0.02585,0.0087,0.00595,0.005050000000000001,0.07125000000000001,0.06665,0.043699999999999996,0.0033
HG02678,HG00436,0.0306,0.0213,0.0216,0.03195,0.0224,0.008799999999999999,0.07045,0.06515,0.044700000000000004,0.00225
HG02678,HG02156,0.02475,0.00975,0.025,0.00605,0.01345,0.022000000000000002,0.0702,0.07314999999999999,0.04885,0.00315
HG02678,HG02017,0.022600000000000002,0.02255,0.01905,0.0062,0.0045,0.026350000000000002,0.07139999999999999,0.0639,0.0679,0.0029
HG02678,NA18566,0.01845,0.0136,0.01005,0.01875,0.00505,0.00455,0.0386,0.059050000000000005,0.01135,0.00455
HG02678,HG00125,0.013600000000000001,0.0191,0.021249999999999998,0.03175,0.02195,0.009,0.0362,0.00045,0.02285,0.0033
HG02678,HG00368,0.0173,0.0205,0.02005,0.03175,0.022199999999999998,0.0040999999999999995,0.07189999999999999,0.0508,0.08145,0.007299999999999999
HG02678,NA20801,0.01745,0.0157,0.00485,0.01885,0.01345,0.00405,0.07105,0.06545,0.0729,0.0049
HG02678,HG01678,0.0186,0.016149999999999998,0.00085,0.0314,0.02205,0.0041,0.0039,0.025650000000000003,0.0107,0.0072499999999999995
HG02678,HG00117,0.02445,0.0159,0.0092,0.0315,0.0132,0.0069,0.03805,0.025650000000000003,0.02285,0.00655
HG02678,HG00271,0.0053,0.018500000000000003,0.0158,0.0314,0.0132,0.004,0.05095,0.06045,0.041999999999999996,0.0038
HG02678,NA20753,0.0127,0.0201,0.0208,0.015799999999999998,0.0142,0.00135,0.0367,0.026000000000000002,0.02365,0.00315
HG02678,HG02224,0.00555,0.0175,0.02105,0.03175,0.02155,0.007,0.03565,0.040049999999999995,0.0601,0.0034000000000000002
HG02678,HG00254,0.01765,0.02305,0.0217,0.01715,0.0055,0.00415,0.07164999999999999,0.07335,0.03115,0.009999999999999998
HG02678,NA10850,0.0053,0.0163,0.02475,0.0315,0.013099999999999999,0.004,0.07089999999999999,0.05905,0.052899999999999996,0.00655
HG02678,HG02684,0.008,0.016399999999999998,0.019299999999999998,0.03165,0.0215,0.007,0.0717,0.05955,0.06870000000000001,0.0060999999999999995
HG02678,NA20899,0.01895,0.02145,0.018850000000000002,0.03185,0.0218,0.0036999999999999997,0.0721,0.05095,0.06295,0.0062
HG02678,HG03931,0.019700000000000002,0.0216,0.02045,0.0162,0.0167,0.00125,0.0706,0.0799,0.0139,0.0021
HG02678,HG03598,0.01695,0.0174,0.0048000000000000004,0.0315,0.021699999999999997,0.0047,0.0703,0.07419999999999999,0.0338,0.006750000000000001
HG02678,NA21102,0.01775,0.0153,0.0046500000000000005,0.00035,0.0042,0.005,0.03685,0.06535,0.024300000000000002,0.0119
HG02678,HG03742,0.00715,0.01985,0.0188,0.03175,0.018,0.00605,0.0712,0.06545,0.050850000000000006,0.00895
HG02678,NA20883,0.0073,0.01935,0.02055,0.0002,0.00275,0.0056,0.07155,0.06484999999999999,0.0436,0.0049
HG02678,HG04149,0.0224,0.016649999999999998,0.019549999999999998,0.03175,0.02185,0.00385,0.0707,0.07419999999999999,0.039099999999999996,0.00575
HG02678,HG03900,0.025849999999999998,0.0224,0.00485,0.031549999999999995,0.01335,0.0043,0.07235,0.050600000000000006,0.07455,0.00245
HG02678,NA21101,0.01125,0.02205,0.019950000000000002,0.01845,0.0214,0.00705,0.0367,0.0252,0.0422,0.014100000000000001
HG03039,HG03159,0.02495,0.019,0.0128,0.0013,0.0019000000000000002,0.005549999999999999,0.0358,0.0272,0.03505,0.01835
HG03039,NA19024,0.009250000000000001,0.021150000000000002,0.02785,0.031799999999999995,0.01435,0.0069,0.0349,0.048299999999999996,0.0581,0.0052
